geneSymbol	chromosome
PRDM1	chr6
AIM1	chr6
QRSL1	chr6
C6orf203	chr6
SOBP	chr6
AF520419	chr6
NR2E1	chr6
LACE1	chr6
FOXO3	chr6
LINC00222	chr6
ARMC2	chr6
CEP57L1	chr6
LOC100996634	chr6
CCDC162P	chr6
C6orf185	chr6
SMPD2	chr6
FIG4	chr6
GPR6	chr6
CDC40	chr6
AMD1	chr6
GTF3C6	chr6
RPF2	chr6
SLC16A10	chr6
KIAA1919	chr6
TRAF3IP2-AS1	chr6
WISP3	chr6
FAM229B	chr6
RFPL4B	chr6
MARCKS	chr6
FLJ34503	chr6
BC042098	chr6
TPI1P3	chr6
NT5DC1	chr6
DSE	chr6
AK093256	chr6
FAM26F	chr6
FAM26E	chr6
FAM26D	chr6
RWDD1	chr6
RSPH4A	chr6
KPNA5	chr6
RFX6	chr6
VGLL2	chr6
DCBLD1	chr6
NUS1	chr6
SLC35F1	chr6
BRD7P3	chr6
PLN	chr6
LOC100287632	chr6
ASF1A	chr6
GJA1	chr6
HSF2	chr6
PKIB	chr6
FABP7	chr6
SMPDL3A	chr6
CLVS2	chr6
AL832096	chr6
NKAIN2	chr6
RNF217	chr6
TPD52L1	chr6
LOC643623	chr6
HEY2	chr6
NCOA7	chr6
HINT3	chr6
TRMT11	chr6
CENPW	chr6
RSPO3	chr6
RNF146	chr6
C6orf58	chr6
LAMA2	chr6
L3MBTL3	chr6
TMEM200A	chr6
SMLR1	chr6
AKAP7	chr6
ARG1	chr6
ENPP3	chr6
ENPP1	chr6
DD182001	chr6
LOC100507254	chr6
TAAR9	chr6
TAAR8	chr6
TAAR6	chr6
RPS12	chr6
SNORA33	chr6
LINC00326	chr6
EYA4	chr6
MGC34034	chr6
TCF21	chr6
AX747860	chr6
TBPL1	chr6
LOC154092	chr6
MYB	chr6
LINC00271	chr6
PDE7B	chr6
PEX7	chr6
SLC35D3	chr6
TNFAIP3	chr6
KIAA1244	chr6
HEBP2	chr6
FLJ46906	chr6
CCDC28A	chr6
ECT2L	chr6
ABRACL	chr6
HECA	chr6
LOC100132735	chr6
BC038188	chr6
MIR3668	chr6
MIR4465	chr6
JA611294	chr6
VTA1	chr6
GPR126	chr6
AIG1	chr6
PEX3	chr6
PHACTR2	chr6
LTV1	chr6
ZC2HC1B	chr6
AX746989	chr6
STX11	chr6
UTRN	chr6
LOC100507557	chr6
GRM1	chr6
RAB32	chr6
FW339973	chr6
ADGB	chr6
STXBP5	chr6
BC043173	chr6
SAMD5	chr6
SASH1	chr6
UST	chr6
TAB2	chr6
BC041998	chr6
SUMO4	chr6
GINM1	chr6
RPS18P9	chr6
PCMT1	chr6
LOC100652739	chr6
BC040898	chr6
ULBP2	chr6
ULBP1	chr6
PPP1R14C	chr6
IYD	chr6
PLEKHG1	chr6
MTHFD1L	chr6
AKAP12	chr6
C6orf211	chr6
CCDC170	chr6
ESR1	chr6
MYCT1	chr6
VIP	chr6
OPRM1	chr6
TIAM2	chr6
SCAF8	chr6
AK124484	chr6
CLDN20	chr6
ARID1B	chr6
ZDHHC14	chr6
AK092380	chr6
MIR3692	chr6
SNX9	chr6
SYNJ2	chr6
AK026758	chr6
SYNJ2-IT1	chr6
GTF2H5	chr6
TULP4	chr6
TMEM181	chr6
DQ581726	chr6
DQ586009	chr6
SYTL3	chr6
EZR-AS1	chr6
C6orf99	chr6
FNDC1	chr6
WTAP	chr6
ACAT2	chr6
MRPL18	chr6
PNLDC1	chr6
MAS1	chr6
IGF2R	chr6
LOC729603	chr6
SLC22A1	chr6
SLC22A3	chr6
PLG	chr6
MAP3K4	chr6
PACRG	chr6
QKI	chr6
AK093114	chr6
LINC00602	chr6
LOC100289495	chr6
FGFR1OP	chr6
CCR6	chr6
TCP10L2	chr6
UNC93A	chr6
TTLL2	chr6
MLLT4	chr6
BX649158	chr6
MLL/AF6 fusion	chr6
KIF25	chr6
SMOC2	chr6
C6orf120	chr6
C6orf70	chr6
LINC00574	chr6
FAM120B	chr6
MIR4644	chr6
TBP	chr6
BC036251	chr6
DQ584609	chr6
EXOC2	chr6
HUS1B	chr6
AX747750	chr6
AK093403	chr6
LOC285768	chr6
DD413621	chr6
GMDS	chr6
AK024936	chr6
C6orf195	chr6
MYLK4	chr6
SERPINB1	chr6
MIR4645	chr6
MGC39372	chr6
SERPINB9	chr6
SERPINB6	chr6
HTATSF1P2	chr6
LOC100507194	chr6
TUBB2B	chr6
SLC22A23	chr6
AX746991	chr6
PXDC1	chr6
FAM217A	chr6
ECI2	chr6
RPP40	chr6
LYRM4	chr6
MIR3691	chr6
NRN1	chr6
F13A1	chr6
LY86-AS1	chr6
SSR1	chr6
CAGE1	chr6
BLOC1S5-TXNDC5	chr6
TXNDC5	chr6
EEF1E1-MUTED	chr6
BLOC1S5	chr6
EEF1E1	chr6
SCARNA27	chr6
SLC35B3	chr6
MRDS1	chr6
OFCC1	chr6
TFAP2A	chr6
LINC00518	chr6
C6orf52	chr6
MAK	chr6
GCM2	chr6
ELOVL2	chr6
ERVFRD-1	chr6
NEDD9	chr6
ADTRP	chr6
TBC1D7	chr6
LOC100130357	chr6
AK127555	chr6
GFOD1	chr6
RANBP9	chr6
MCUR1	chr6
BC033996	chr6
DTNBP1	chr6
ATXN1	chr6
NUP153	chr6
KIF13A	chr6
NHLRC1	chr6
TPMT	chr6
DEK	chr6
AK097585	chr6
AK092541	chr6
MBOAT1	chr6
LOC729177	chr6
PRL	chr6
DCDC2	chr6
GPLD1	chr6
KIAA0319	chr6
TDP2	chr6
C6orf62	chr6
FAM65B	chr6
CMAHP	chr6
BC029534	chr6
DQ586576	chr6
SLC17A1	chr6
SLC17A3	chr6
SLC17A2	chr6
HIST1H1A	chr6
HIST1H4B	chr6
HIST1H3B	chr6
HIST1H2AB	chr6
HIST1H2BB	chr6
HIST1H1C	chr6
HIST1H1T	chr6
HIST1H2BC	chr6
HIST1H4D	chr6
HIST1H3D	chr6
HIST1H2AD	chr6
HIST1H2BG	chr6
HIST1H1D	chr6
HIST1H4G	chr6
HIST1H3G	chr6
HIST1H4H	chr6
LOC285819	chr6
ZNF322	chr6
DQ786258	chr6
GUSBP2	chr6
DQ587763	chr6
DQ571494	chr6
LOC100270746	chr6
HIST1H2BJ	chr6
BC014312	chr6
HIST1H2BK	chr6
POM121L2	chr6
ZNF204P	chr6
ZNF184	chr6
HIST1H2BL	chr6
HIST1H2AJ	chr6
BC016143	chr6
HIST1H4K	chr6
HIST1H2AK	chr6
HIST1H1B	chr6
HIST1H3I	chr6
HIST1H4L	chr6
HIST1H3J	chr6
HIST1H2AM	chr6
OR2B2	chr6
LOC100129195	chr6
TOB2P1	chr6
ZKSCAN4	chr6
ZSCAN31	chr6
ZSCAN12	chr6
ZSCAN23	chr6
GPX6	chr6
SCAND3	chr6
LOC401242	chr6
TRIM27	chr6
ZNF311	chr6
OR2W1	chr6
OR2B3	chr6
OR5V1	chr6
OR12D3	chr6
OR11A1	chr6
6M1-18	chr6
MAS1L	chr6
GABBR1	chr6
UBD	chr6
ZFP57	chr6
HLA-F-AS1	chr6
IFITM4P	chr6
HCG4	chr6
HCG4B	chr6
AK097625	chr6
ZNRD1-AS1	chr6
UNQ6501	chr6
RNF39	chr6
TRIM31	chr6
DQ580846	chr6
TRIM10	chr6
TRIM26	chr6
HCG17	chr6
HCG18	chr6
GNL1	chr6
PPP1R10	chr6
DHX16	chr6
PPP1R18	chr6
NRM	chr6
MDC1	chr6
FLOT1	chr6
IER3	chr6
AK098012	chr6
SFTA2	chr6
C6orf15	chr6
CDSN	chr6
PSORS1C2	chr6
CCHCR1	chr6
PSORS1C3	chr6
HLA-B	chr6
HLA-C	chr6
ATP6V1G2-DDX39B	chr6
DDX39B	chr6
ATP6V1G2	chr6
SNORD84	chr6
SNORD117	chr6
LTB	chr6
NCR3	chr6
BAG6	chr6
C6orf47	chr6
GPANK1	chr6
LY6G5C	chr6
ABHD16A	chr6
LY6G6E	chr6
MIR4646	chr6
LY6G6C	chr6
DDAH2	chr6
CLIC1	chr6
VWA7	chr6
VARS	chr6
LSM2	chr6
HSPA1L	chr6
AK298056	chr6
NEU1	chr6
SLC44A4	chr6
EHMT2	chr6
ZBTB12	chr6
NELFE	chr6
MIR1236	chr6
DOM3Z	chr6
TNXB	chr6
ATF6B	chr6
FKBPL	chr6
LOC100507547	chr6
PRRT1	chr6
AGPAT1	chr6
AGER	chr6
PBX2	chr6
NOTCH4	chr6
GPSM3	chr6
C6orf10	chr6
BTNL2	chr6
HLA-DRB1	chr6
HLA-DRB5	chr6
HLA-DRB6	chr6
AK293020	chr6
HLA-DQB1	chr6
HLA-DQB2	chr6
TAP2	chr6
HLA-DOB	chr6
PSMB8	chr6
TAP1	chr6
HLA-DMB	chr6
HLA-DMA	chr6
HLA-DOA	chr6
HLA-DPA1	chr6
COL11A2	chr6
RXRB	chr6
VPS52	chr6
WDR46	chr6
RGL2	chr6
TAPBP	chr6
NGS-17	chr6
ZBTB22	chr6
DAXX	chr6
CUTA	chr6
BAK1	chr6
LINC00336	chr6
MNF1	chr6
SBP1	chr6
IP6K3	chr6
LEMD2	chr6
MLN	chr6
DQ591368	chr6
DQ588775	chr6
DQ575620	chr6
DQ574302	chr6
DQ582547	chr6
DQ574483	chr6
DQ593162	chr6
DQ597035	chr6
DQ588564	chr6
DQ595963	chr6
DQ587023	chr6
DQ601690	chr6
DQ576911	chr6
DQ577977	chr6
DQ575513	chr6
DQ573052	chr6
DQ577182	chr6
DQ584412	chr6
DQ584979	chr6
DQ582579	chr6
DQ589683	chr6
DQ593611	chr6
DQ594410	chr6
DQ582841	chr6
DQ575895	chr6
DQ575530	chr6
DQ575377	chr6
DQ586570	chr6
DQ593990	chr6
DQ573704	chr6
DQ570748	chr6
DQ599657	chr6
DQ596290	chr6
DQ601334	chr6
DQ584108	chr6
DQ577931	chr6
DQ575305	chr6
DQ586699	chr6
DQ575290	chr6
DQ572560	chr6
DQ575175	chr6
DQ574159	chr6
DQ575062	chr6
DQ599837	chr6
DQ587590	chr6
DQ595081	chr6
DQ570026	chr6
DQ599581	chr6
DQ595416	chr6
DQ594337	chr6
LOC100507584	chr6
DQ597072	chr6
DQ594437	chr6
DQ585264	chr6
DQ571410	chr6
MIR1275	chr6
GRM4	chr6
C6orf1	chr6
DQ572964	chr6
DQ591995	chr6
RPS10-NUDT3	chr6
RPS10	chr6
NUDT3	chr6
SPDEF	chr6
C6orf106	chr6
TAF11	chr6
TCP11	chr6
AY927475	chr6
TEAD3	chr6
TULP1	chr6
FKBP5	chr6
LOC285847	chr6
MIR5690	chr6
CLPS	chr6
SRPK1	chr6
SLC26A8	chr6
BC042825	chr6
C6orf222	chr6
ETV7	chr6
PXT1	chr6
STK38	chr6
MIR3925	chr6
CPNE5	chr6
AK096023	chr6
PPIL1	chr6
MTCH1	chr6
TMEM217	chr6
MDGA1	chr6
AY927499	chr6
CCDC167	chr6
MIR4462	chr6
BTBD9	chr6
GLO1	chr6
LOC100131047	chr6
SAYSD1	chr6
KCNK5	chr6
KCNK17	chr6
KCNK16	chr6
KIF6	chr6
AX747174	chr6
MOCS1	chr6
LINC00951	chr6
LRFN2	chr6
UNC5CL	chr6
OARD1	chr6
TREML1	chr6
TREM2	chr6
TREML2	chr6
TREML3P	chr6
TREM1	chr6
TFEB	chr6
PGC	chr6
FRS3	chr6
DQ592954	chr6
USP49	chr6
MED20	chr6
CCND3	chr6
C6orf132	chr6
GUCA1B	chr6
MRPS10	chr6
TRERF1	chr6
PRPH2	chr6
DQ582057	chr6
TBCC	chr6
C6orf226	chr6
BC040637	chr6
PEX6	chr6
MEA1	chr6
CUL7	chr6
MRPL2	chr6
DNPH1	chr6
ZNF318	chr6
CRIP3	chr6
DLK2	chr6
LRRC73	chr6
YIPF3	chr6
XPO5	chr6
GTPBP2	chr6
MRPS18A	chr6
AK097853	chr6
AK024736	chr6
MRPL14	chr6
SLC35B2	chr6
MIR4647	chr6
NFKBIE	chr6
TCTE1	chr6
AARS2	chr6
SUPT3H	chr6
MIR586	chr6
CLIC5	chr6
ENPP5	chr6
RCAN2	chr6
CYP39A1	chr6
PLA2G7	chr6
GPR116	chr6
GPR110	chr6
TNFRSF21	chr6
PTCHD4	chr6
MUT	chr6
RHAG	chr6
CRISP2	chr6
CRISP3	chr6
PGK2	chr6
BC067243	chr6
CRISP1	chr6
DEFB133	chr6
DEFB114	chr6
DEFB113	chr6
DEFB110	chr6
DEFB112	chr6
PKHD1	chr6
IL17F	chr6
MCM3	chr6
TRAM2	chr6
GSTA7P	chr6
GSTA2	chr6
GSTA1	chr6
GSTA5	chr6
GSTA3	chr6
GSTA4	chr6
AK125212	chr6
ICK	chr6
GCM1	chr6
ELOVL5	chr6
BC009838	chr6
RPS16P5	chr6
GCLC	chr6
AK126334	chr6
BC050580	chr6
AK125128	chr6
KLHL31	chr6
DD157417	chr6
HMGCLL1	chr6
BMP5	chr6
COL21A1	chr6
DST	chr6
RNU6-71P	chr6
BC032020	chr6
RAB23	chr6
GUSBP4	chr6
KHDRBS2	chr6
LGSN	chr6
EYS	chr6
LOC648232	chr6
LMBRD1	chr6
COL9A1	chr6
B3GAT2	chr6
MIR30C2	chr6
MIR30A	chr6
LINC00472	chr6
MIR4282	chr6
KCNQ5-AS1	chr6
KHDC1	chr6
C6orf147	chr6
KHDC1L	chr6
DPPA5	chr6
OOEP	chr6
MB21D1	chr6
EEF1A1	chr6
DL491467	chr6
DQ590492	chr6
SLC17A5	chr6
AK124950	chr6
COL12A1	chr6
COX7A2	chr6
TMEM30A	chr6
FILIP1	chr6
IMPG1	chr6
HTR1B	chr6
PHIP	chr6
HMGN3	chr6
BC070061	chr6
LCA5	chr6
C6orf7	chr6
ELOVL4	chr6
FAM46A	chr6
BC038576	chr6
IBTK	chr6
UBE3D	chr6
PGM3	chr6
ME1	chr6
SNAP91	chr6
KIAA1009	chr6
TBX18	chr6
AK024998	chr6
SNX14	chr6
SYNCRIP	chr6
SNHG5	chr6
SNORD50A	chr6
SNORD50B	chr6
CGA	chr6
GJB7	chr6
RARS2	chr6
AKIRIN2	chr6
CNR1	chr6
RNGTT	chr6
SRSF12	chr6
GABRR1	chr6
GABRR2	chr6
UBE2J1	chr6
RRAGD	chr6
LYRM2	chr6
MDN1	chr6
BACH2	chr6
MAP3K7	chr6
BC037927	chr6
EPHA7	chr6
GPR63	chr6
NDUFAF4	chr6
MIR548H3	chr6
MMS22L	chr6
FBXL4	chr6
FAXC	chr6
COQ3	chr6
PNISR	chr6
BC033061	chr6
USP45	chr6
CCNC	chr6
MCHR2	chr6
SIM1	chr6
ASCC3	chr6
DQ585302	chr6
HACE1	chr6
LINC00577	chr6
BVES	chr6
POPDC3	chr6
PREP	chr6
ATG5	chr6
RTN4IP1	chr6
LOC100422737	chr6
AK123416	chr6
BEND3	chr6
PDSS2	chr6
SCML4	chr6
SEC63	chr6
OSTM1	chr6
AJ420489	chr6
SNX3	chr6
SESN1	chr6
CD164	chr6
PPIL6	chr6
MICAL1	chr6
ZBTB24	chr6
AK9	chr6
WASF1	chr6
DDO	chr6
METTL24	chr6
SLC22A16	chr6
CDK19	chr6
BC047513	chr6
GSTM2P1	chr6
REV3L	chr6
AF216583	chr6
TRAF3IP2	chr6
FYN	chr6
TUBE1	chr6
LAMA4	chr6
LOC285758	chr6
HDAC2	chr6
HS3ST5	chr6
FRK	chr6
COL10A1	chr6
TSPYL4	chr6
TSPYL1	chr6
TRAPPC3L	chr6
ZUFSP	chr6
AX746765	chr6
FAM162B	chr6
GPRC6A	chr6
ROS1	chr6
GOPC	chr6
AJ420595	chr6
CEP85L	chr6
MCM9	chr6
FAM184A	chr6
MIR548B	chr6
MAN1A1	chr6
LOC285762	chr6
C6orf170	chr6
BC022047	chr6
SERINC1	chr6
TRDN	chr6
STL	chr6
HDDC2	chr6
BC036196	chr6
MIR5695	chr6
AK127472	chr6
ECHDC1	chr6
SOGA3	chr6
KIAA0408	chr6
THEMIS	chr6
PTPRK	chr6
BC035400	chr6
ARHGAP18	chr6
TMEM244	chr6
SAMD3	chr6
EPB41L2	chr6
MED23	chr6
OR2A4	chr6
CTAGE9	chr6
CTGF	chr6
MOXD1	chr6
STX7	chr6
TAAR5	chr6
TAAR3	chr6
TAAR2	chr6
TAAR1	chr6
VNN1	chr6
VNN3	chr6
VNN2	chr6
SLC18B1	chr6
BC041459	chr6
AK093513	chr6
SLC2A12	chr6
HMGA1P7	chr6
SGK1	chr6
AJ606330	chr6
BC040308	chr6
AJ606328	chr6
AJ606331	chr6
DQ591448	chr6
ALDH8A1	chr6
HBS1L	chr6
MIR3662	chr6
AHI1	chr6
AJ606316	chr6
BC038719	chr6
MTFR2	chr6
BCLAF1	chr6
MAP7	chr6
AB073649	chr6
MAP3K5	chr6
NHEG1	chr6
IL20RA	chr6
IL22RA2	chr6
IFNGR1	chr6
OLIG3	chr6
LOC100130476	chr6
PERP	chr6
PBOV1	chr6
NHSL1	chr6
MIR3145	chr6
LOC100507462	chr6
REPS1	chr6
TXLNB	chr6
CITED2	chr6
LOC645434	chr6
AK097143	chr6
JA611295	chr6
NMBR	chr6
LOC153910	chr6
HIVEP2	chr6
LOC100507489	chr6
ADAT2	chr6
FUCA2	chr6
LOC285740	chr6
PLAGL1	chr6
HYMAI	chr6
SF3B5	chr6
EPM2A	chr6
FLJ44955	chr6
FBXO30	chr6
SHPRH	chr6
LOC729176	chr6
STXBP5-AS1	chr6
BC047626	chr6
LOC100128176	chr6
ZC3H12D	chr6
PPIL4	chr6
KATNA1	chr6
LATS1	chr6
NUP43	chr6
LRP11	chr6
RAET1E	chr6
RAET1G	chr6
RAET1K	chr6
RAET1L	chr6
ULBP3	chr6
BC031960	chr6
ZBTB2	chr6
RMND1	chr6
SYNE1	chr6
FBXO5	chr6
MTRF1L	chr6
RGS17	chr6
IPCEF1	chr6
CNKSR3	chr6
TFB1M	chr6
AK022993	chr6
AB075492	chr6
NOX3	chr6
MIR4466	chr6
TMEM242	chr6
SERAC1	chr6
DYNLT1	chr6
MIR3918	chr6
EZR	chr6
AX747826	chr6
OSTCP1	chr6
RSPH3	chr6
TAGAP	chr6
AK130765	chr6
SOD2	chr6
LOC100129518	chr6
BC016015	chr6
TCP1	chr6
SNORA20	chr6
SNORA29	chr6
AIRN	chr6
SLC22A2	chr6
LPAL2	chr6
LPA	chr6
AGPAT4	chr6
AGPAT4-IT1	chr6
PARK2	chr6
AK058177	chr6
AK311212	chr6
AK296276	chr6
PACRG-AS1	chr6
DKFZp451B082	chr6
CAHM	chr6
AK090788	chr6
C6orf118	chr6
PDE10A	chr6
AK090688	chr6
LINC00473	chr6
T	chr6
PRR18	chr6
SFT2D1	chr6
MPC1	chr6
RPS6KA2	chr6
RPS6KA2-IT1	chr6
MIR1913	chr6
RNASET2	chr6
MIR3939	chr6
GPR31	chr6
TCP10	chr6
AK127120	chr6
AL832737	chr6
LOC441178	chr6
C6orf123	chr6
MLLT4-AS1	chr6
HGC6.3	chr6
HGC6.1.1	chr6
FRMD1	chr6
DACT2	chr6
AF086258	chr6
THBS2	chr6
AK055570	chr6
WDR27	chr6
AK128656	chr6
PHF10	chr6
TCTE3	chr6
AK023627	chr6
LINC00242	chr6
LOC154449	chr6
DLL1	chr6
PSMB1	chr6
PDCD2	chr6
LOC100129636	chr6_apd_hap1
OR2J3	chr6_apd_hap1
OR2J2	chr6_apd_hap1
OR14J1	chr6_apd_hap1
OR10C1	chr6_apd_hap1
OR2H1	chr6_apd_hap1
LOC100507362	chr6_apd_hap1
DQ573101	chr6_apd_hap1
SNORD32B	chr6_apd_hap1
OR2H2	chr6_apd_hap1
MOG	chr6_apd_hap1
LOC554223	chr6_apd_hap1
HLA-H	chr6_apd_hap1
BC035647	chr6_apd_hap1
HLA-A	chr6_apd_hap1
AK309533	chr6_apd_hap1
HLA-J	chr6_apd_hap1
ZNRD1	chr6_apd_hap1
PPP1R11	chr6_apd_hap1
TRIM40	chr6_apd_hap1
TRIM15	chr6_apd_hap1
TRIM39-RPP21	chr6_apd_hap1
TRIM39	chr6_apd_hap1
RPP21	chr6_apd_hap1
TUBB	chr6_apd_hap1
DDR1	chr6_apd_hap1
MUC21	chr6_apd_hap1
MUC22	chr6_apd_hap1
HCG22	chr6_apd_hap1
MICB	chr6_apd_hap1
MCCD1	chr6_apd_hap1
TNF	chr6_apd_hap1
LST1	chr6_apd_hap1
MSH5-SAPCD1	chr6_apd_hap1
HSPA1A	chr6_apd_hap1
HSPA1B	chr6_apd_hap1
C6orf48	chr6_apd_hap1
SNORD48	chr6_apd_hap1
SNORD52	chr6_apd_hap1
PPT2	chr6_apd_hap1
PPT2-EGFL8	chr6_apd_hap1
EGFL8	chr6_apd_hap1
RNF5	chr6_apd_hap1
HCG23	chr6_apd_hap1
HLA-DQA2	chr6_apd_hap1
LOC100507463	chr6_apd_hap1
PSMB9	chr6_apd_hap1
LOC100294145	chr6_apd_hap1
HLA-DPB1	chr6_apd_hap1
HLA-DPB2	chr6_apd_hap1
LOC401242	chr6_apd_hap1
TRIM27	chr6_apd_hap1
ZNF311	chr6_apd_hap1
OR2W1	chr6_apd_hap1
OR2B3	chr6_apd_hap1
OR11A1	chr6_apd_hap1
6M1-18	chr6_apd_hap1
MAS1L	chr6_apd_hap1
GABBR1	chr6_apd_hap1
UBD	chr6_apd_hap1
ZFP57	chr6_apd_hap1
HCG4	chr6_apd_hap1
HCG4B	chr6_apd_hap1
AK097625	chr6_apd_hap1
ZNRD1-AS1	chr6_apd_hap1
RNF39	chr6_apd_hap1
TRIM31	chr6_apd_hap1
DQ580846	chr6_apd_hap1
TRIM10	chr6_apd_hap1
TRIM26	chr6_apd_hap1
HCG17	chr6_apd_hap1
HCG18	chr6_apd_hap1
GNL1	chr6_apd_hap1
DHX16	chr6_apd_hap1
PPP1R18	chr6_apd_hap1
NRM	chr6_apd_hap1
MDC1	chr6_apd_hap1
FLOT1	chr6_apd_hap1
DDX39B	chr6_apd_hap1
SNORD117	chr6_apd_hap1
LTB	chr6_apd_hap1
NCR3	chr6_apd_hap1
VWA7	chr6_apd_hap1
VARS	chr6_apd_hap1
LSM2	chr6_apd_hap1
HSPA1L	chr6_apd_hap1
AK298056	chr6_apd_hap1
NEU1	chr6_apd_hap1
SLC44A4	chr6_apd_hap1
EHMT2	chr6_apd_hap1
XB	chr6_apd_hap1
LOC100507547	chr6_apd_hap1
PRRT1	chr6_apd_hap1
AGPAT1	chr6_apd_hap1
AGER	chr6_apd_hap1
PBX2	chr6_apd_hap1
GPSM3	chr6_apd_hap1
NOTCH4	chr6_apd_hap1
C6orf10	chr6_apd_hap1
BTNL2	chr6_apd_hap1
HLA-DRB1	chr6_apd_hap1
HLA-DQB2	chr6_apd_hap1
TAP2	chr6_apd_hap1
HLA-DOB	chr6_apd_hap1
PSMB8	chr6_apd_hap1
TAP1	chr6_apd_hap1
HLA-DMB	chr6_apd_hap1
HLA-DMA	chr6_apd_hap1
HLA-DPA1	chr6_apd_hap1
GPX5	chr6_cox_hap2
AK056211	chr6_cox_hap2
LOC100129636	chr6_cox_hap2
OR2J3	chr6_cox_hap2
OR2J2	chr6_cox_hap2
OR14J1	chr6_cox_hap2
OR12D2	chr6_cox_hap2
OR10C1	chr6_cox_hap2
OR2H1	chr6_cox_hap2
LOC100507362	chr6_cox_hap2
DQ573101	chr6_cox_hap2
SNORD32B	chr6_cox_hap2
OR2H2	chr6_cox_hap2
MOG	chr6_cox_hap2
HLA-F	chr6_cox_hap2
LOC554223	chr6_cox_hap2
HLA-G	chr6_cox_hap2
HLA-H	chr6_cox_hap2
BC035647	chr6_cox_hap2
DQ580344	chr6_cox_hap2
HLA-A	chr6_cox_hap2
AK309533	chr6_cox_hap2
HCG9	chr6_cox_hap2
HLA-J	chr6_cox_hap2
ZNRD1	chr6_cox_hap2
PPP1R11	chr6_cox_hap2
TRIM40	chr6_cox_hap2
TRIM15	chr6_cox_hap2
HLA-L	chr6_cox_hap2
TRIM39-RPP21	chr6_cox_hap2
TRIM39	chr6_cox_hap2
RPP21	chr6_cox_hap2
HLA-E	chr6_cox_hap2
PRR3	chr6_cox_hap2
ABCF1	chr6_cox_hap2
MIR877	chr6_cox_hap2
MRPS18B	chr6_cox_hap2
ATAT1	chr6_cox_hap2
C6orf136	chr6_cox_hap2
TUBB	chr6_cox_hap2
DDR1	chr6_cox_hap2
MIR4640	chr6_cox_hap2
VARS2	chr6_cox_hap2
GTF2H4	chr6_cox_hap2
DPCR1	chr6_cox_hap2
MUC21	chr6_cox_hap2
UNQ697	chr6_cox_hap2
MUC22	chr6_cox_hap2
HCG22	chr6_cox_hap2
PSORS1C1	chr6_cox_hap2
TCF19	chr6_cox_hap2
POU5F1	chr6_cox_hap2
HCG27	chr6_cox_hap2
MICA	chr6_cox_hap2
MICB	chr6_cox_hap2
HCP5	chr6_cox_hap2
PMSP	chr6_cox_hap2
HCG26	chr6_cox_hap2
MCCD1	chr6_cox_hap2
NFKBIL1	chr6_cox_hap2
LTA	chr6_cox_hap2
TNF	chr6_cox_hap2
LST1	chr6_cox_hap2
AIF1	chr6_cox_hap2
PRRC2A	chr6_cox_hap2
SNORA38	chr6_cox_hap2
APOM	chr6_cox_hap2
CSNK2B	chr6_cox_hap2
LY6G5B	chr6_cox_hap2
LY6G6F	chr6_cox_hap2
LY6G6D	chr6_cox_hap2
C6orf25	chr6_cox_hap2
MSH5-SAPCD1	chr6_cox_hap2
HSPA1A	chr6_cox_hap2
HSPA1B	chr6_cox_hap2
C6orf48	chr6_cox_hap2
SNORD48	chr6_cox_hap2
SNORD52	chr6_cox_hap2
C2	chr6_cox_hap2
CFB	chr6_cox_hap2
SKIV2L	chr6_cox_hap2
C4B_2	chr6_cox_hap2
STK19	chr6_cox_hap2
C4A	chr6_cox_hap2
CYP21A2	chr6_cox_hap2
CYP21A1P	chr6_cox_hap2
PPT2	chr6_cox_hap2
PPT2-EGFL8	chr6_cox_hap2
EGFL8	chr6_cox_hap2
RNF5	chr6_cox_hap2
AK123889	chr6_cox_hap2
HCG23	chr6_cox_hap2
HLA-DRA	chr6_cox_hap2
HLA-DQA1	chr6_cox_hap2
HLA-DQA2	chr6_cox_hap2
LOC100507463	chr6_cox_hap2
PSMB9	chr6_cox_hap2
LOC100294145	chr6_cox_hap2
BRD2	chr6_cox_hap2
HLA-DPB1	chr6_cox_hap2
HLA-DPB2	chr6_cox_hap2
JA611279	chr6_cox_hap2
SLC39A7	chr6_cox_hap2
HSD17B8	chr6_cox_hap2
MIR219-1	chr6_cox_hap2
RING1	chr6_cox_hap2
HCG25	chr6_cox_hap2
RPS18	chr6_cox_hap2
B3GALT4	chr6_cox_hap2
PFDN6	chr6_cox_hap2
GPX6	chr6_cox_hap2
SCAND3	chr6_cox_hap2
LOC401242	chr6_cox_hap2
TRIM27	chr6_cox_hap2
ZNF311	chr6_cox_hap2
OR2W1	chr6_cox_hap2
OR2B3	chr6_cox_hap2
OR5V1	chr6_cox_hap2
OR12D3	chr6_cox_hap2
OR11A1	chr6_cox_hap2
6M1-18	chr6_cox_hap2
MAS1L	chr6_cox_hap2
GABBR1	chr6_cox_hap2
UBD	chr6_cox_hap2
ZFP57	chr6_cox_hap2
HLA-F-AS1	chr6_cox_hap2
IFITM4P	chr6_cox_hap2
HCG4	chr6_cox_hap2
HCG4B	chr6_cox_hap2
AK097625	chr6_cox_hap2
ZNRD1-AS1	chr6_cox_hap2
RNF39	chr6_cox_hap2
TRIM31	chr6_cox_hap2
DQ580846	chr6_cox_hap2
TRIM10	chr6_cox_hap2
TRIM26	chr6_cox_hap2
HCG17	chr6_cox_hap2
HCG18	chr6_cox_hap2
GNL1	chr6_cox_hap2
PPP1R10	chr6_cox_hap2
DHX16	chr6_cox_hap2
